time_s,emg,piezo,straining,vocal_resonance,phonation,breath_support
0.0004,794,512,0,1,1,1
0.0005,793,510,0,1,1,1
0.0005,794,511,0,1,1,1
0.0006,794,510,0,1,1,1
0.0007,795,510,0,1,1,1
0.0008,783,510,0,1,1,1
0.0008,784,510,0,1,1,1
0.0009,785,510,0,1,1,1
0.0010,785,510,0,1,1,1
0.0011,785,511,0,1,1,1
0.0012,786,510,0,1,1,1
0.0012,784,510,0,1,1,1
0.0013,785,511,0,1,1,1
0.0014,786,510,0,1,1,1
0.0015,786,511,0,1,1,1
0.0016,787,510,0,1,1,1
0.0016,785,511,0,1,1,1
0.0017,822,511,0,1,1,1
0.0018,789,510,0,1,1,1
0.0019,786,511,0,1,1,1
0.0019,786,511,0,1,1,1
0.0020,787,511,0,1,1,1
0.0021,787,511,0,1,1,1
0.0022,788,510,0,1,1,1
0.0022,786,510,0,1,1,1
0.0023,823,510,0,1,1,1
0.0024,789,510,0,1,1,1
0.0025,786,510,0,1,1,1
0.0025,787,510,0,1,1,1
0.0026,786,510,0,1,1,1
0.0027,788,511,0,1,1,1
0.0028,786,511,0,1,1,1
0.0028,787,511,0,1,1,1
0.0029,788,510,0,1,1,1
0.0030,788,510,0,1,1,1
0.0031,788,511,0,1,1,1
0.0031,824,511,0,1,1,1
0.0032,790,511,0,1,1,1
0.0033,796,511,0,1,1,1
0.0034,796,511,0,1,1,1
0.0035,796,511,0,1,1,1
0.0035,797,510,0,1,1,1
0.0036,797,513,0,1,1,1
0.0037,795,511,0,1,1,1
0.0037,796,511,0,1,1,1
0.0038,796,511,0,1,1,1
0.0038,796,510,0,1,1,1
0.0039,797,510,0,1,1,1
0.0039,785,510,0,1,1,1
0.0039,786,510,0,1,1,1
0.0040,786,510,0,1,1,1
0.0040,786,510,0,1,1,1
0.0041,787,511,0,1,1,1
0.0041,823,510,0,1,1,1
0.0042,791,511,0,1,1,1
0.0042,785,510,0,1,1,1
0.0043,787,510,0,1,1,1
0.0043,785,510,0,1,1,1
0.0044,785,511,0,1,1,1
0.0044,786,510,0,1,1,1
0.0044,822,511,0,1,1,1
0.0045,789,511,0,1,1,1
0.0045,785,510,0,1,1,1
0.0046,786,510,0,1,1,1
0.0046,784,510,0,1,1,1
0.0047,784,511,0,1,1,1
0.0047,784,511,0,1,1,1
0.0048,785,511,0,1,1,1
0.0048,783,510,0,1,1,1
0.0049,785,511,0,1,1,1
0.0049,784,510,0,1,1,1
0.0050,784,510,0,1,1,1
0.0050,784,511,0,1,1,1
0.0051,784,510,0,1,1,1
0.0051,784,511,0,1,1,1
0.0052,820,511,0,1,1,1
0.0052,788,511,0,1,1,1
0.0053,783,510,0,1,1,1
0.0053,783,510,0,1,1,1
0.0054,820,511,0,1,1,1
0.0054,805,511,0,1,1,1
0.0054,799,511,0,1,1,1
0.0055,791,511,0,1,1,1
0.0055,792,511,0,1,1,1
0.0056,792,510,0,1,1,1
0.0056,792,510,0,1,1,1
0.0057,792,511,0,1,1,1
0.0057,790,510,0,1,1,1
0.0057,790,510,0,1,1,1
0.0058,790,511,0,1,1,1
0.0058,790,511,0,1,1,1
0.0059,779,511,0,1,1,1
0.0059,781,511,0,1,1,1
0.0059,780,510,0,1,1,1
0.0060,780,510,0,1,1,1
0.0060,780,511,0,1,1,1
0.0061,817,511,0,1,1,1
0.0061,786,511,0,1,1,1
0.0061,780,511,0,1,1,1
0.0062,780,510,0,1,1,1
0.0062,780,510,0,1,1,1
0.0063,781,511,0,1,1,1
0.0063,781,511,0,1,1,1
0.0064,816,511,0,1,1,1
0.0064,783,511,0,1,1,1
0.0064,781,511,0,1,1,1
0.0065,780,511,0,1,1,1
0.0065,780,511,0,1,1,1
0.0066,781,510,0,1,1,1
0.0066,781,511,0,1,1,1
0.0067,781,510,0,1,1,1
0.0067,780,510,0,1,1,1
0.0067,780,511,0,1,1,1
0.0068,780,511,0,1,1,1
0.0068,779,511,0,1,1,1
0.0069,781,510,0,1,1,1
0.0069,779,511,0,1,1,1
0.0069,780,511,0,1,1,1
0.0070,817,511,0,1,1,1
0.0070,784,511,0,1,1,1
0.0070,780,510,0,1,1,1
0.0071,780,511,0,1,1,1
0.0071,780,511,0,1,1,1
0.0072,789,511,0,1,1,1
0.0072,790,511,0,1,1,1
0.0072,789,511,0,1,1,1
0.0073,790,511,0,1,1,1
0.0073,788,510,0,1,1,1
0.0073,789,511,0,1,1,1
0.0074,789,511,0,1,1,1
0.0074,789,511,0,1,1,1
0.0075,788,510,0,1,1,1
0.0075,788,511,0,1,1,1
0.0075,778,511,0,1,1,1
0.0076,779,511,0,1,1,1
0.0076,779,511,0,1,1,1
0.0076,779,511,0,1,1,1
0.0077,778,511,0,1,1,1
0.0077,778,510,0,1,1,1
0.0078,778,511,0,1,1,1
0.0078,779,511,0,1,1,1
0.0078,779,511,0,1,1,1
0.0079,777,510,0,1,1,1
0.0079,778,511,0,1,1,1
0.0080,778,511,0,1,1,1
0.0080,815,510,0,1,1,1
0.0081,781,510,0,1,1,1
0.0081,778,511,0,1,1,1
0.0081,778,510,0,1,1,1
0.0082,778,511,0,1,1,1
0.0082,777,511,0,1,1,1
0.0082,777,511,0,1,1,1
0.0083,777,511,0,1,1,1
0.0083,776,511,0,1,1,1
0.0084,778,511,0,1,1,1
0.0084,776,511,0,1,1,1
0.0084,776,511,0,1,1,1
0.0085,814,511,0,1,1,1
0.0085,782,511,0,1,1,1
0.0086,777,510,0,1,1,1
0.0086,777,511,0,1,1,1
0.0086,777,511,0,1,1,1
0.0087,776,511,0,1,1,1
0.0087,776,511,0,1,1,1
0.0088,814,511,0,1,1,1
0.0088,778,510,0,1,1,1
0.0089,786,511,0,1,1,1
0.0089,786,511,0,1,1,1
0.0089,786,511,0,1,1,1
0.0090,787,510,0,1,1,1
0.0090,786,512,0,1,1,1
0.0090,786,510,0,1,1,1
0.0091,786,511,0,1,1,1
0.0091,785,511,0,1,1,1
0.0092,786,511,0,1,1,1
0.0092,786,511,0,1,1,1
0.0093,776,511,0,1,1,1
0.0093,774,511,0,1,1,1
0.0093,775,511,0,1,1,1
0.0094,775,510,0,1,1,1
0.0094,775,510,0,1,1,1
0.0095,813,510,0,1,1,1
0.0095,779,510,0,1,1,1
0.0095,775,510,0,1,1,1
0.0096,775,511,0,1,1,1
0.0096,775,511,0,1,1,1
0.0097,775,510,0,1,1,1
0.0097,774,510,0,1,1,1
0.0097,812,511,0,1,1,1
0.0098,777,510,0,1,1,1
0.0098,774,510,0,1,1,1
0.0099,774,511,0,1,1,1
0.0099,813,511,0,1,1,1
0.0099,778,511,0,1,1,1
0.0100,774,511,0,1,1,1
0.0100,774,510,0,1,1,1
0.0100,773,511,0,1,1,1
0.0101,773,510,0,1,1,1
0.0101,774,511,0,1,1,1
0.0102,774,511,0,1,1,1
0.0102,774,510,0,1,1,1
0.0103,774,510,0,1,1,1
0.0103,773,510,0,1,1,1
0.0103,812,510,0,1,1,1
0.0104,776,510,0,1,1,1
0.0104,773,511,0,1,1,1
