time_s,emg,piezo,straining,vocal_resonance,phonation,breath_support
0.0088,771,514,1,0,0,0
0.0088,810,516,1,0,0,0
0.0088,773,515,1,0,0,0
0.0089,782,515,1,0,0,0
0.0089,782,515,1,0,0,0
0.0089,781,514,1,0,0,0
0.0090,783,516,1,0,0,0
0.0090,782,516,1,0,0,0
0.0090,782,515,1,0,0,0
0.0091,782,515,1,0,0,0
0.0091,781,514,1,0,0,0
0.0091,783,516,1,0,0,0
0.0092,782,514,1,0,0,0
0.0092,772,516,1,0,0,0
0.0092,771,515,1,0,0,0
0.0093,771,514,1,0,0,0
0.0093,772,515,1,0,0,0
0.0093,771,514,1,0,0,0
0.0094,810,516,1,0,0,0
0.0094,776,515,1,0,0,0
0.0094,771,515,1,0,0,0
0.0095,771,515,1,0,0,0
0.0095,771,514,1,0,0,0
0.0095,772,516,1,0,0,0
0.0096,771,515,1,0,0,0
0.0096,809,515,1,0,0,0
0.0096,775,515,1,0,0,0
0.0097,772,514,1,0,0,0
0.0097,772,516,1,0,0,0
0.0097,809,514,1,0,0,0
0.0098,777,515,1,0,0,0
0.0098,772,515,1,0,0,0
0.0098,772,514,1,0,0,0
0.0099,771,516,1,0,0,0
0.0099,771,514,1,0,0,0
0.0099,771,516,1,0,0,0
0.0100,772,515,1,0,0,0
0.0100,772,515,1,0,0,0
0.0100,771,515,1,0,0,0
0.0100,771,514,1,0,0,0
0.0101,810,516,1,0,0,0
0.0101,774,515,1,0,0,0
0.0101,771,515,1,0,0,0
0.0102,772,515,1,0,0,0
0.0102,770,514,1,0,0,0
0.0102,790,516,1,0,0,0
0.0103,783,515,1,0,0,0
0.0103,782,515,1,0,0,0
0.0103,782,515,1,0,0,0
0.0104,782,514,1,0,0,0
0.0104,782,516,1,0,0,0
0.0104,781,514,1,0,0,0
0.0105,783,516,1,0,0,0
0.0105,782,515,1,0,0,0
0.0106,782,515,1,0,0,0
0.0106,782,515,1,0,0,0
0.0106,771,514,1,0,0,0
0.0107,772,516,1,0,0,0
0.0107,772,515,1,0,0,0
0.0107,770,515,1,0,0,0
0.0108,771,515,1,0,0,0
0.0108,809,515,1,0,0,0
0.0108,778,516,1,0,0,0
0.0109,771,515,1,0,0,0
0.0109,772,515,1,0,0,0
0.0109,772,515,1,0,0,0
0.0110,770,514,1,0,0,0
0.0110,771,516,1,0,0,0
0.0110,809,515,1,0,0,0
0.0111,775,515,1,0,0,0
0.0111,772,515,1,0,0,0
0.0111,770,515,1,0,0,0
0.0112,771,515,1,0,0,0
0.0112,771,514,1,0,0,0
0.0112,772,516,1,0,0,0
0.0113,772,515,1,0,0,0
0.0113,770,515,1,0,0,0
0.0113,771,515,1,0,0,0
0.0114,771,514,1,0,0,0
0.0114,770,516,1,0,0,0
0.0114,772,515,1,0,0,0
0.0114,770,515,1,0,0,0
0.0115,771,515,1,0,0,0
0.0115,810,515,1,0,0,0
0.0115,777,516,1,0,0,0
0.0116,771,515,1,0,0,0
0.0116,772,515,1,0,0,0
0.0116,772,515,1,0,0,0
0.0117,781,515,1,0,0,0
0.0117,783,516,1,0,0,0
0.0117,782,515,1,0,0,0
0.0117,782,516,1,0,0,0
0.0118,782,515,1,0,0,0
0.0118,781,515,1,0,0,0
0.0118,783,515,1,0,0,0
0.0118,782,514,1,0,0,0
0.0119,782,516,1,0,0,0
0.0119,781,515,1,0,0,0
0.0119,771,515,1,0,0,0
0.0120,772,515,1,0,0,0
0.0120,772,514,1,0,0,0
0.0120,771,516,1,0,0,0
0.0121,771,515,1,0,0,0
0.0121,771,515,1,0,0,0
0.0121,772,515,1,0,0,0
0.0121,772,514,1,0,0,0
0.0122,771,516,1,0,0,0
0.0122,771,514,1,0,0,0
0.0122,771,515,1,0,0,0
0.0123,772,515,1,0,0,0
0.0123,810,515,1,0,0,0
0.0123,773,515,1,0,0,0
0.0123,771,514,1,0,0,0
0.0124,772,515,1,0,0,0
0.0124,809,515,1,0,0,0
0.0124,778,515,1,0,0,0
0.0125,772,515,1,0,0,0
0.0125,772,514,1,0,0,0
0.0125,810,516,1,0,0,0
0.0125,776,515,1,0,0,0
0.0126,770,515,1,0,0,0
0.0126,771,515,1,0,0,0
0.0126,810,515,1,0,0,0
0.0127,777,516,1,0,0,0
0.0127,771,515,1,0,0,0
0.0127,772,515,1,0,0,0
0.0127,772,515,1,0,0,0
0.0128,770,514,1,0,0,0
0.0128,771,516,1,0,0,0
0.0128,810,515,1,0,0,0
0.0129,773,516,1,0,0,0
0.0129,782,515,1,0,0,0
0.0129,781,515,1,0,0,0
0.0130,781,516,1,0,0,0
0.0130,782,514,1,0,0,0
0.0130,782,517,1,0,0,0
0.0131,782,515,1,0,0,0
0.0131,782,515,1,0,0,0
0.0131,781,515,1,0,0,0
0.0131,782,514,1,0,0,0
0.0132,782,516,1,0,0,0
0.0132,772,515,1,0,0,0
0.0132,771,515,1,0,0,0
0.0133,771,515,1,0,0,0
0.0133,771,514,1,0,0,0
0.0133,772,516,1,0,0,0
0.0135,810,515,1,0,0,0
0.0135,776,515,1,0,0,0
0.0135,771,515,1,0,0,0
0.0136,771,514,1,0,0,0
0.0136,772,516,1,0,0,0
0.0136,772,514,1,0,0,0
0.0137,771,515,1,0,0,0
0.0139,809,515,1,0,0,0
0.0139,775,515,1,0,0,0
0.0140,772,515,1,0,0,0
0.0140,772,514,1,0,0,0
0.0141,810,516,1,0,0,0
0.0141,776,515,1,0,0,0
0.0141,770,515,1,0,0,0
0.0142,771,515,1,0,0,0
0.0142,810,514,1,0,0,0
0.0142,777,516,1,0,0,0
0.0143,771,514,1,0,0,0
0.0143,772,515,1,0,0,0
0.0143,772,515,1,0,0,0
0.0144,770,514,1,0,0,0
0.0144,771,516,1,0,0,0
0.0144,810,515,1,0,0,0
0.0145,775,515,1,0,0,0
0.0145,771,515,1,0,0,0
0.0146,771,514,1,0,0,0
0.0146,771,516,1,0,0,0
0.0146,790,514,1,0,0,0
0.0147,783,516,1,0,0,0
0.0147,783,515,1,0,0,0
0.0147,782,515,1,0,0,0
0.0148,782,516,1,0,0,0
0.0148,781,514,1,0,0,0
0.0148,781,516,1,0,0,0
0.0149,782,515,1,0,0,0
0.0149,782,515,1,0,0,0
0.0149,782,515,1,0,0,0
0.0150,781,514,1,0,0,0
0.0150,772,516,1,0,0,0
0.0151,772,514,1,0,0,0
0.0151,772,515,1,0,0,0
0.0151,771,515,1,0,0,0
0.0152,771,514,1,0,0,0
0.0152,809,516,1,0,0,0
0.0152,778,514,1,0,0,0
0.0153,771,515,1,0,0,0
0.0153,772,515,1,0,0,0
0.0153,772,514,1,0,0,0
0.0154,771,516,1,0,0,0
0.0154,771,514,1,0,0,0
0.0155,809,516,1,0,0,0
0.0155,775,515,1,0,0,0
0.0155,772,515,1,0,0,0
0.0156,771,515,1,0,0,0
0.0156,771,514,1,0,0,0
0.0156,772,516,1,0,0,0
0.0157,772,515,1,0,0,0
0.0157,772,515,1,0,0,0
0.0157,771,515,1,0,0,0
0.0158,771,514,1,0,0,0
0.0158,772,516,1,0,0,0
0.0158,770,514,1,0,0,0
0.0159,772,515,1,0,0,0
0.0159,771,515,1,0,0,0
0.0160,771,514,1,0,0,0
0.0160,810,516,1,0,0,0
0.0160,776,514,1,0,0,0
0.0161,771,515,1,0,0,0
0.0161,772,515,1,0,0,0
0.0161,772,514,1,0,0,0
0.0162,781,516,1,0,0,0
0.0162,782,514,1,0,0,0
0.0162,782,515,1,0,0,0
0.0163,782,515,1,0,0,0
0.0163,781,515,1,0,0,0
0.0164,781,516,1,0,0,0
0.0164,782,514,1,0,0,0
0.0164,782,516,1,0,0,0
0.0165,782,515,1,0,0,0
0.0165,781,515,1,0,0,0
0.0165,772,515,1,0,0,0
0.0166,772,514,1,0,0,0
0.0166,772,516,1,0,0,0
0.0166,771,515,1,0,0,0
0.0167,771,515,1,0,0,0
0.0167,772,515,1,0,0,0
0.0167,771,514,1,0,0,0
0.0168,772,516,1,0,0,0
0.0168,770,514,1,0,0,0
0.0169,771,515,1,0,0,0
0.0169,771,515,1,0,0,0
0.0169,772,514,1,0,0,0
0.0170,810,516,1,0,0,0
0.0170,773,514,1,0,0,0
0.0170,772,515,1,0,0,0
0.0171,772,515,1,0,0,0
0.0171,809,515,1,0,0,0
0.0171,779,516,1,0,0,0
0.0172,772,514,1,0,0,0
0.0172,772,515,1,0,0,0
0.0173,809,515,1,0,0,0
0.0173,776,515,1,0,0,0
0.0173,772,515,1,0,0,0
0.0174,772,514,1,0,0,0
0.0174,771,516,1,0,0,0
0.0174,771,515,1,0,0,0
0.0175,771,515,1,0,0,0
0.0175,772,515,1,0,0,0
0.0175,772,514,1,0,0,0
0.0175,771,516,1,0,0,0
0.0176,771,514,1,0,0,0
0.0176,810,515,1,0,0,0
0.0176,773,515,1,0,0,0
0.0177,782,514,1,0,0,0
0.0177,782,516,1,0,0,0
0.0177,781,514,1,0,0,0
0.0177,783,515,1,0,0,0
0.0178,782,516,1,0,0,0
0.0178,782,514,1,0,0,0
0.0178,782,516,1,0,0,0
0.0179,781,514,1,0,0,0
0.0179,783,515,1,0,0,0
0.0179,782,515,1,0,0,0
0.0180,772,515,1,0,0,0
0.0180,771,516,1,0,0,0
0.0180,771,514,1,0,0,0
0.0180,771,516,1,0,0,0
0.0181,772,515,1,0,0,0
0.0181,810,515,1,0,0,0
0.0181,776,516,1,0,0,0
0.0182,771,514,1,0,0,0
0.0182,772,516,1,0,0,0
0.0182,772,515,1,0,0,0
0.0183,772,515,1,0,0,0
0.0183,771,515,1,0,0,0
0.0183,809,515,1,0,0,0
0.0183,775,516,1,0,0,0
0.0184,772,515,1,0,0,0
0.0184,772,515,1,0,0,0
0.0184,810,515,1,0,0,0
0.0185,775,515,1,0,0,0
0.0185,771,516,1,0,0,0
0.0185,771,515,1,0,0,0
0.0185,810,515,1,0,0,0
0.0186,776,515,1,0,0,0
0.0186,771,515,1,0,0,0
0.0186,772,516,1,0,0,0
0.0187,772,514,1,0,0,0
0.0187,771,516,1,0,0,0
0.0187,771,515,1,0,0,0
0.0188,810,515,1,0,0,0
0.0188,775,516,1,0,0,0
0.0188,771,514,1,0,0,0
0.0189,772,516,1,0,0,0
0.0189,770,515,1,0,0,0
0.0189,790,515,1,0,0,0
0.0189,783,515,1,0,0,0
0.0190,782,514,1,0,0,0
0.0190,782,516,1,0,0,0
0.0190,782,515,1,0,0,0
0.0191,781,515,1,0,0,0
0.0191,781,515,1,0,0,0
0.0191,782,514,1,0,0,0
0.0192,783,516,1,0,0,0
0.0192,782,514,1,0,0,0
0.0192,781,515,1,0,0,0
0.0192,771,515,1,0,0,0
0.0193,771,514,1,0,0,0
0.0193,772,516,1,0,0,0
0.0193,770,514,1,0,0,0
0.0194,771,515,1,0,0,0
0.0194,809,515,1,0,0,0
0.0194,778,515,1,0,0,0
0.0194,772,516,1,0,0,0
0.0195,771,514,1,0,0,0
0.0195,772,516,1,0,0,0
0.0195,771,515,1,0,0,0
0.0196,771,515,1,0,0,0
0.0196,809,516,1,0,0,0
0.0196,775,514,1,0,0,0
0.0197,772,516,1,0,0,0
0.0197,771,515,1,0,0,0
0.0197,771,515,1,0,0,0
0.0197,772,515,1,0,0,0
0.0198,771,514,1,0,0,0
0.0198,772,516,1,0,0,0
0.0198,771,514,1,0,0,0
0.0199,771,515,1,0,0,0
0.0199,771,515,1,0,0,0
0.0199,770,514,1,0,0,0
0.0200,772,516,1,0,0,0
0.0200,770,515,1,0,0,0
0.0200,771,515,1,0,0,0
0.0200,810,515,1,0,0,0
0.0201,776,515,1,0,0,0
0.0201,772,516,1,0,0,0
0.0201,772,514,1,0,0,0
0.0202,772,516,1,0,0,0
0.0202,781,515,1,0,0,0
0.0202,782,515,1,0,0,0
0.0203,782,516,1,0,0,0
0.0203,782,514,1,0,0,0
0.0203,782,516,1,0,0,0
0.0203,781,515,1,0,0,0
0.0204,782,515,1,0,0,0
0.0204,782,515,1,0,0,0
0.0204,782,514,1,0,0,0
0.0205,782,516,1,0,0,0
0.0205,771,514,1,0,0,0
0.0205,772,515,1,0,0,0
0.0206,772,515,1,0,0,0
0.0206,770,514,1,0,0,0
0.0206,771,516,1,0,0,0
0.0206,771,514,1,0,0,0
0.0207,772,515,1,0,0,0
0.0207,772,515,1,0,0,0
0.0207,770,514,1,0,0,0
0.0208,771,516,1,0,0,0
0.0208,771,514,1,0,0,0
0.0208,772,515,1,0,0,0
0.0209,810,515,1,0,0,0
0.0209,773,514,1,0,0,0
0.0209,772,516,1,0,0,0
0.0209,772,514,1,0,0,0
0.0210,810,516,1,0,0,0
0.0210,777,515,1,0,0,0
0.0210,771,515,1,0,0,0
0.0211,772,516,1,0,0,0
0.0211,809,515,1,0,0,0
0.0211,777,516,1,0,0,0
0.0211,772,515,1,0,0,0
0.0212,772,515,1,0,0,0
0.0212,771,516,1,0,0,0
0.0212,771,514,1,0,0,0
0.0213,772,516,1,0,0,0
0.0213,772,515,1,0,0,0
0.0213,772,515,1,0,0,0
0.0213,771,516,1,0,0,0
0.0214,771,514,1,0,0,0
0.0214,810,516,1,0,0,0
0.0214,773,515,1,0,0,0
0.0214,782,515,1,0,0,0
0.0215,782,515,1,0,0,0
0.0215,781,514,1,0,0,0
0.0215,783,516,1,0,0,0
0.0215,782,516,1,0,0,0
0.0216,782,515,1,0,0,0
0.0216,782,515,1,0,0,0
0.0216,781,515,1,0,0,0
0.0217,783,516,1,0,0,0
0.0217,782,514,1,0,0,0
0.0217,772,515,1,0,0,0
