time_s,emg,piezo,straining,vocal_resonance,phonation,breath_support
0.0087,771,512,1,0,0,0
0.0087,771,511,1,0,0,0
0.0088,772,512,1,0,0,0
0.0088,772,512,1,0,0,0
0.0088,772,512,1,0,0,0
0.0089,773,512,1,0,0,0
0.0089,771,512,1,0,0,0
0.0089,810,512,1,0,0,0
0.0090,773,512,1,0,0,0
0.0090,782,512,1,0,0,0
0.0091,782,512,1,0,0,0
0.0091,783,512,1,0,0,0
0.0092,783,512,1,0,0,0
0.0092,783,515,1,0,0,0
0.0092,782,512,1,0,0,0
0.0093,782,512,1,0,0,0
0.0093,783,512,1,0,0,0
0.0094,783,512,1,0,0,0
0.0094,782,511,1,0,0,0
0.0094,772,512,1,0,0,0
0.0095,773,512,1,0,0,0
0.0095,771,511,1,0,0,0
0.0096,772,512,1,0,0,0
0.0096,772,512,1,0,0,0
0.0096,810,512,1,0,0,0
0.0097,778,512,1,0,0,0
0.0097,771,512,1,0,0,0
0.0097,772,512,1,0,0,0
0.0098,772,512,1,0,0,0
0.0098,772,512,1,0,0,0
0.0099,773,512,1,0,0,0
0.0099,809,512,1,0,0,0
0.0099,775,512,1,0,0,0
0.0100,772,512,1,0,0,0
0.0100,772,512,1,0,0,0
0.0101,770,512,1,0,0,0
0.0101,771,512,1,0,0,0
0.0102,772,511,1,0,0,0
0.0102,772,511,1,0,0,0
0.0102,770,512,1,0,0,0
0.0103,773,512,1,0,0,0
0.0103,771,512,1,0,0,0
0.0103,771,512,1,0,0,0
0.0104,772,512,1,0,0,0
0.0104,772,512,1,0,0,0
0.0105,773,511,1,0,0,0
0.0105,810,512,1,0,0,0
0.0105,776,512,1,0,0,0
0.0106,771,512,1,0,0,0
0.0106,771,512,1,0,0,0
0.0107,811,512,1,0,0,0
0.0107,795,512,1,0,0,0
0.0107,784,512,1,0,0,0
0.0108,782,512,1,0,0,0
0.0108,783,512,1,0,0,0
0.0109,783,512,1,0,0,0
0.0109,782,512,1,0,0,0
0.0109,782,512,1,0,0,0
0.0110,782,512,1,0,0,0
0.0110,783,511,1,0,0,0
0.0111,783,511,1,0,0,0
0.0111,783,512,1,0,0,0
0.0111,772,512,1,0,0,0
0.0112,773,512,1,0,0,0
0.0112,771,512,1,0,0,0
0.0112,771,512,1,0,0,0
0.0113,772,512,1,0,0,0
0.0113,810,512,1,0,0,0
0.0114,778,511,1,0,0,0
0.0114,771,512,1,0,0,0
0.0114,771,512,1,0,0,0
0.0115,772,512,1,0,0,0
0.0115,772,512,1,0,0,0
0.0115,773,511,1,0,0,0
0.0116,809,512,1,0,0,0
0.0116,775,512,1,0,0,0
0.0117,772,512,1,0,0,0
0.0117,772,512,1,0,0,0
0.0117,771,511,1,0,0,0
0.0118,771,511,1,0,0,0
0.0118,771,512,1,0,0,0
0.0118,772,512,1,0,0,0
0.0119,772,512,1,0,0,0
0.0119,773,512,1,0,0,0
0.0120,771,512,1,0,0,0
0.0120,810,511,1,0,0,0
0.0120,775,512,1,0,0,0
0.0121,771,512,1,0,0,0
0.0121,772,512,1,0,0,0
0.0122,770,512,1,0,0,0
0.0122,772,512,1,0,0,0
0.0122,771,512,1,0,0,0
0.0123,771,512,1,0,0,0
0.0123,772,512,1,0,0,0
0.0123,783,511,1,0,0,0
0.0124,782,512,1,0,0,0
0.0124,782,512,1,0,0,0
0.0124,782,512,1,0,0,0
0.0125,783,512,1,0,0,0
0.0125,783,511,1,0,0,0
0.0126,782,512,1,0,0,0
0.0126,782,512,1,0,0,0
0.0126,782,512,1,0,0,0
0.0127,783,512,1,0,0,0
0.0127,771,512,1,0,0,0
0.0127,771,512,1,0,0,0
0.0128,772,512,1,0,0,0
0.0128,772,512,1,0,0,0
0.0129,773,512,1,0,0,0
0.0129,771,512,1,0,0,0
0.0129,771,512,1,0,0,0
0.0130,772,512,1,0,0,0
0.0130,772,512,1,0,0,0
0.0130,773,512,1,0,0,0
0.0131,771,512,1,0,0,0
0.0131,771,512,1,0,0,0
0.0132,810,512,1,0,0,0
0.0132,775,511,1,0,0,0
0.0132,771,511,1,0,0,0
0.0133,772,511,1,0,0,0
0.0133,772,512,1,0,0,0
0.0134,773,512,1,0,0,0
0.0134,771,512,1,0,0,0
0.0134,771,512,1,0,0,0
0.0135,811,512,1,0,0,0
0.0135,775,512,1,0,0,0
0.0135,772,512,1,0,0,0
0.0136,772,512,1,0,0,0
0.0136,771,512,1,0,0,0
0.0136,771,511,1,0,0,0
0.0137,771,512,1,0,0,0
0.0137,772,512,1,0,0,0
0.0138,772,512,1,0,0,0
0.0138,772,512,1,0,0,0
0.0138,771,512,1,0,0,0
0.0138,810,512,1,0,0,0
0.0139,773,512,1,0,0,0
0.0139,782,512,1,0,0,0
0.0140,782,512,1,0,0,0
0.0140,783,512,1,0,0,0
0.0140,783,512,1,0,0,0
0.0141,782,515,1,0,0,0
0.0141,782,512,1,0,0,0
0.0141,782,512,1,0,0,0
0.0142,783,512,1,0,0,0
0.0142,783,512,1,0,0,0
0.0142,782,512,1,0,0,0
0.0143,772,511,1,0,0,0
0.0143,772,512,1,0,0,0
0.0143,771,512,1,0,0,0
0.0144,771,512,1,0,0,0
0.0144,772,512,1,0,0,0
0.0144,810,511,1,0,0,0
0.0145,778,512,1,0,0,0
0.0145,771,511,1,0,0,0
0.0145,771,512,1,0,0,0
0.0146,772,512,1,0,0,0
0.0146,772,512,1,0,0,0
0.0146,773,512,1,0,0,0
0.0147,809,512,1,0,0,0
0.0147,775,512,1,0,0,0
0.0147,772,512,1,0,0,0
0.0148,772,512,1,0,0,0
0.0148,771,512,1,0,0,0
0.0148,771,512,1,0,0,0
0.0149,771,512,1,0,0,0
0.0149,772,512,1,0,0,0
0.0149,770,512,1,0,0,0
0.0150,772,512,1,0,0,0
0.0150,771,512,1,0,0,0
0.0150,771,512,1,0,0,0
0.0151,772,512,1,0,0,0
0.0151,772,512,1,0,0,0
0.0151,772,512,1,0,0,0
0.0152,810,512,1,0,0,0
0.0152,776,512,1,0,0,0
0.0152,771,512,1,0,0,0
0.0155,771,512,1,0,0,0
0.0155,811,512,1,0,0,0
0.0156,795,512,1,0,0,0
0.0156,784,511,1,0,0,0
0.0156,782,512,1,0,0,0
0.0157,783,512,1,0,0,0
0.0157,782,512,1,0,0,0
0.0157,782,511,1,0,0,0
0.0157,782,512,1,0,0,0
0.0158,781,512,1,0,0,0
0.0158,783,512,1,0,0,0
0.0158,783,512,1,0,0,0
0.0159,782,512,1,0,0,0
0.0159,772,512,1,0,0,0
0.0159,772,512,1,0,0,0
0.0160,771,512,1,0,0,0
0.0160,771,512,1,0,0,0
0.0160,772,512,1,0,0,0
0.0161,810,512,1,0,0,0
0.0161,778,512,1,0,0,0
0.0161,771,512,1,0,0,0
0.0162,771,512,1,0,0,0
0.0162,771,512,1,0,0,0
