time_s,emg,piezo,straining,vocal_resonance,phonation,breath_support
0.0004,771,515,0,1,0,1
0.0005,772,515,0,1,0,1
0.0005,811,515,0,1,0,1
0.0006,775,515,0,1,0,1
0.0007,772,515,0,1,0,1
0.0008,773,515,0,1,0,1
0.0009,771,515,0,1,0,1
0.0009,771,515,0,1,0,1
0.0010,772,515,0,1,0,1
0.0011,772,515,0,1,0,1
0.0012,772,515,0,1,0,1
0.0012,773,515,0,1,0,1
0.0013,771,515,0,1,0,1
0.0014,810,515,0,1,0,1
0.0015,773,515,0,1,0,1
0.0015,782,515,0,1,0,1
0.0016,782,515,0,1,0,1
0.0017,783,515,0,1,0,1
0.0018,783,515,0,1,0,1
0.0019,782,516,0,1,0,1
0.0019,782,515,0,1,0,1
0.0020,782,515,0,1,0,1
0.0021,783,515,0,1,0,1
0.0022,783,515,0,1,0,1
0.0022,782,515,0,1,0,1
0.0023,772,515,0,1,0,1
0.0024,772,515,0,1,0,1
0.0024,771,515,0,1,0,1
0.0025,771,515,0,1,0,1
0.0026,772,515,0,1,0,1
0.0027,810,515,0,1,0,1
0.0027,778,515,0,1,0,1
0.0028,771,515,0,1,0,1
0.0029,771,515,0,1,0,1
0.0030,772,515,0,1,0,1
0.0031,772,515,0,1,0,1
0.0031,772,515,0,1,0,1
0.0032,809,515,0,1,0,1
0.0033,775,515,0,1,0,1
0.0034,772,515,0,1,0,1
0.0034,772,515,0,1,0,1
0.0035,771,515,0,1,0,1
0.0036,771,515,0,1,0,1
0.0037,771,515,0,1,0,1
0.0037,772,515,0,1,0,1
0.0038,770,515,0,1,0,1
0.0039,772,515,0,1,0,1
0.0040,771,515,0,1,0,1
0.0040,771,515,0,1,0,1
0.0041,772,515,0,1,0,1
0.0042,772,515,0,1,0,1
0.0043,772,515,0,1,0,1
0.0043,810,515,0,1,0,1
0.0044,776,515,0,1,0,1
0.0045,771,515,0,1,0,1
0.0046,771,515,0,1,0,1
0.0047,810,515,0,1,0,1
0.0047,795,515,0,1,0,1
0.0048,783,515,0,1,0,1
0.0049,781,515,0,1,0,1
0.0050,783,515,0,1,0,1
0.0050,783,515,0,1,0,1
0.0051,782,515,0,1,0,1
0.0052,782,515,0,1,0,1
0.0053,781,515,0,1,0,1
0.0054,783,515,0,1,0,1
0.0054,782,515,0,1,0,1
0.0055,782,515,0,1,0,1
0.0056,772,515,0,1,0,1
0.0056,772,515,0,1,0,1
0.0057,771,515,0,1,0,1
0.0058,771,515,0,1,0,1
0.0058,772,515,0,1,0,1
0.0059,810,515,0,1,0,1
0.0059,778,515,0,1,0,1
0.0060,771,515,0,1,0,1
0.0060,771,515,0,1,0,1
0.0060,772,515,0,1,0,1
0.0061,772,515,0,1,0,1
0.0061,772,515,0,1,0,1
0.0062,809,515,0,1,0,1
0.0062,775,515,0,1,0,1
0.0062,771,515,0,1,0,1
0.0063,772,515,0,1,0,1
0.0063,770,515,0,1,0,1
0.0063,771,515,0,1,0,1
0.0064,771,515,0,1,0,1
0.0064,771,515,0,1,0,1
0.0065,772,515,0,1,0,1
0.0065,772,515,0,1,0,1
0.0065,771,515,0,1,0,1
0.0066,810,515,0,1,0,1
0.0066,774,515,0,1,0,1
0.0066,771,515,0,1,0,1
0.0067,771,515,0,1,0,1
0.0067,770,515,0,1,0,1
0.0067,772,515,0,1,0,1
0.0068,771,515,0,1,0,1
0.0068,771,515,0,1,0,1
0.0069,771,515,0,1,0,1
0.0069,782,515,0,1,0,1
0.0069,782,515,0,1,0,1
0.0070,782,515,0,1,0,1
0.0070,781,515,0,1,0,1
0.0071,783,515,0,1,0,1
0.0071,782,515,0,1,0,1
0.0071,782,515,0,1,0,1
0.0072,782,515,0,1,0,1
0.0072,781,515,0,1,0,1
0.0072,783,515,0,1,0,1
0.0073,771,515,0,1,0,1
0.0073,771,515,0,1,0,1
0.0074,771,515,0,1,0,1
0.0074,772,515,0,1,0,1
0.0074,772,515,0,1,0,1
0.0075,771,515,0,1,0,1
0.0075,771,515,0,1,0,1
0.0075,771,515,0,1,0,1
0.0076,772,515,0,1,0,1
0.0076,772,515,0,1,0,1
0.0077,771,515,0,1,0,1
0.0077,771,515,0,1,0,1
0.0077,809,515,0,1,0,1
0.0078,775,515,0,1,0,1
0.0078,772,515,0,1,0,1
0.0078,771,515,0,1,0,1
0.0079,770,515,0,1,0,1
0.0079,771,515,0,1,0,1
0.0080,771,515,0,1,0,1
0.0080,771,515,0,1,0,1
0.0080,770,515,0,1,0,1
0.0081,772,515,0,1,0,1
0.0081,771,515,0,1,0,1
0.0081,771,515,0,1,0,1
0.0082,810,515,0,1,0,1
0.0082,776,515,0,1,0,1
0.0083,771,515,0,1,0,1
0.0083,772,515,0,1,0,1
0.0083,772,515,0,1,0,1
0.0084,771,515,0,1,0,1
0.0084,771,515,0,1,0,1
0.0084,810,515,0,1,0,1
0.0085,773,515,0,1,0,1
0.0085,782,515,0,1,0,1
0.0086,782,515,0,1,0,1
0.0086,781,515,0,1,0,1
0.0087,783,515,0,1,0,1
0.0087,782,517,0,1,0,1
0.0087,782,515,0,1,0,1
0.0088,782,515,0,1,0,1
0.0088,781,515,0,1,0,1
0.0088,783,515,0,1,0,1
